CID,D_Dtr04,D_Dtr09,ATSC7s,ATSC8s,GATS6e,GATS7s,P_VSA_LogP_8,P_VSA_MR_3,P_VSA_MR_8,P_VSA_m_4,P_VSA_e_4,P_VSA_i_1,P_VSA_s_5,SM15_EA_ed_,SM05_AEA_ri_,SM06_AEA_ri_,Eig10_EA_ed_,Eig11_EA_ed_,RDF045u,RDF030p,RDF080i,RDF115i,RDF115s,Mor06s,HATS0s,HATS3s,H_052,SsOH,G_O__O_,TPSA_Tot_,SAdon
126,1.5271796258079,1.5271796258079,1.54163058151165,1.5271796258079,1.53052041790305,1.53292505152332,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.58150632992064,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.53672119468511,1.52734024244106,1.5271796258079,1.5271796258079,1.5271796258079,1.51905680765036,1.53434693590337,1.53028583864499,1.5271796258079,1.54520290278948,1.54048599126643,1.59374914739678,1.60153181874471
176,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.56738320330684,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.52742483359099,1.5271796258079,1.5271796258079,1.5271796258079,1.51343926590959,1.56182061041071,1.5485694353424,1.5271796258079,1.54259667943921,1.5271796258079,1.59374914739678,1.60153181874471
177,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.52760256116272,1.5271796258079,1.5271796258079,1.5271796258079,1.52238642568419,1.55875320573237,1.54338320137244,1.5271796258079,1.5271796258079,1.5271796258079,1.56082986144429,1.5271796258079
180,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.56738320330684,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.52719048283959,1.52802449592069,1.5271796258079,1.5271796258079,1.5271796258079,1.52303654598464,1.55343081337334,1.5443259604931,1.5271796258079,1.5271796258079,1.5271796258079,1.56082986144429,1.5271796258079
196,1.5271796258079,1.5271796258079,1.64689835468042,1.56851058352746,1.53139840562961,1.52724475808936,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.57507126461734,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.53483640338941,1.52950095281197,1.5271817972671,1.5271796258079,1.5271796258079,1.51243310311548,1.54027029928036,1.53450537963392,1.5271796258079,1.5593764624193,1.58402743505702,1.64142050180385,1.65294512612648
239,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.57362853371305,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.53147473224633,1.52833543880135,1.5271796258079,1.5271796258079,1.5271796258079,1.51397998963038,1.54218613621347,1.53708918592051,1.5271796258079,1.54342283165532,1.5271796258079,1.62839929705376,1.64250520802725
240,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.53522700674883,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.58067412408645,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.52919203905694,1.52731637614417,1.5271796258079,1.5271796258079,1.5271796258079,1.52031351451797,1.53388121004547,1.52946022403243,1.5271796258079,1.5271796258079,1.5271796258079,1.56082986144429,1.5271796258079
241,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.52739013438223,1.52725778169263,1.5271796258079,1.5271796258079,1.5271796258079,1.52110602377044,1.52834622569141,1.52922638927986,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079
243,1.5271796258079,1.5271796258079,1.53005522322756,1.5271796258079,1.53113737552026,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.58485905772571,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.52971944293817,1.52747686975075,1.5271796258079,1.5271796258079,1.5271796258079,1.51023684667138,1.53347924461021,1.52995904520738,1.5271796258079,1.54451312002005,1.5271796258079,1.59374914739678,1.60153181874471
244,1.5271796258079,1.5271796258079,1.52823401011293,1.5271796258079,1.53025382659095,1.5271796258079,1.5271796258079,1.60153181874471,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.58067412408645,1.5271796258079,1.5271796258079,1.5271796258079,1.5271796258079,1.53647818921381,1.52768919331246,1.5271796258079,1.5271796258079,1.5271796258079,1.51514718572447,1.53660591164201,1.53043301996452,1.5271796258079,1.54481412730516,1.5271796258079,1.5664065154363,1.60153181874471
